"CellLine","BiosensorGroup","CellSeedingDensity","Mean","SD"
"CellLineX","NEG",63,683.159120093919,226.488848185514
"CellLineX","NEG",125,715.031174045859,163.629242912498
"CellLineX","NEG",250,801.109591670672,94.38610686434
"CellLineX","NEG",500,1430.90216575785,234.149046567088
"CellLineX","NEG",1000,2251.25847987699,175.328791589788
"CellLineX","POS",63,741.85118121379,239.453176786673
"CellLineX","POS",125,1187.10502314401,326.460858859028
"CellLineX","POS",250,1139.97474633377,187.2380095644
"CellLineX","POS",500,2630.70232226611,325.836873125849
"CellLineX","POS",1000,3086.1303861933,472.128214462944
