BiosensorGroup,Object_GFPint,Object_Area_um2
POS,233.1773024,33930.3
POS,143.4413024,33412.2
POS,114.1873024,33272.1
POS,243.1043024,31942.5
POS,573.3143024,31139.5
POS,363.1603958,25636.05218
POS,264.2743024,24558.3
POS,993.8973024,24181.6
POS,37.12130245,23063
POS,435.7583024,22757.3
POS,206.9533024,21289.1
POS,390.7933024,20603.5
POS,107.6083024,17479.8
POS,220.9453024,16740.3
POS,293.7553024,16563
POS,1165.327302,16490.3
POS,54.15530245,16431
POS,220.0553024,15477.7
POS,156.8213024,13648.4
POS,165.2273024,13312.6
POS,62.00230245,12351.8
POS,101.2163024,11620.9
POS,219.1403024,10572.2
POS,302.5113024,10037
POS,159.9823024,9981.69
POS,295.0753024,9961.12
POS,300.7693024,9699.74
POS,158.6213024,9352.89
POS,165.9023024,9310.34
POS,129.2953024,9168.83
POS,67.72130245,8825.17
POS,127.0953024,8724.45
POS,273.3323024,8659.55
POS,71.14330245,7831.08
POS,298.1443024,7712.98
POS,290.2693024,7326.76
POS,189.6253024,7264.35
POS,124.6253024,7027.08
POS,95.13930245,7016.09
POS,477.5703024,6710.73
POS,300.3303024,6705.06
POS,149.2413024,6619.94
POS,156.2683024,6279.83
POS,25.90530245,6179.46
POS,70.46130245,5907.45
POS,251.3313024,5906.74
POS,31.98230245,5836.87
POS,55.50430245,5706.36
POS,155.5163024,5459.52
POS,502.5973024,5327.23
POS,22.50530245,5307.37
POS,54.44730245,5220.13
POS,128.5603024,5059.47
POS,404.3313024,4688.51
POS,97.92730245,4556.22
POS,55.57830245,4196.25
POS,168.8543024,4195.89
POS,33.00830245,4126.74
POS,62.78530245,3561.42
POS,47.43830245,3478.43
POS,128.6373024,3450.77
POS,74.89930245,3420.98
POS,201.4893024,3336.57
POS,625.8083024,3267.77
POS,37.17930245,3166.69
POS,70.37530245,3064.55
POS,266.2493024,3024.12
POS,65.64430245,2981.56
POS,182.0643024,2979.08
POS,30.24530245,2792.89
POS,62.30030245,2776.57
POS,15.02830245,2758.49
POS,77.43830245,2710.96
POS,40.78330245,2627.97
POS,45.59130245,2618.4
POS,307.5543024,2589.67
POS,34.42030245,2540.38
POS,24.85930245,2533.99
POS,143.6813024,2526.54
POS,67.68730245,2323.33
POS,21.06630245,2312.33
POS,9.541302447,2144.23
POS,42.85930245,2052.73
POS,13.27030245,1989.6
POS,44.79430245,1964.07
POS,124.3483024,1902.36
POS,40.53430245,1772.55
POS,37.93230245,1751.98
POS,212.8183024,1737.8
POS,17.10330245,1692.05
POS,2.399302447,1668.29
POS,62.72830245,1572.88
POS,85.62430245,1533.52
POS,67.15630245,1477.48
POS,96.46030245,1426.06
POS,11.53430245,1346.26
POS,85.53830245,1345.55
POS,98.82630245,1318.24
POS,70.68930245,1257.24
POS,108.4823024,1221.07
POS,28.04730245,1184.89
POS,24.86630245,1165.03
POS,31.34330245,1161.49
POS,105.0903024,1131.34
POS,46.38130245,971.748
