BiosensorGroup,Object_GFPint,Object_Area_um2
mCMV,24.98866242,472.042
mCMV,34.61566242,63133.8
mCMV,21.55966242,94.3376
mCMV,24.95266242,130.512
mCMV,24.93266242,30.5001
mCMV,30.50766242,79.4421
mCMV,26.11166242,32.9827
mCMV,30.34166242,26.9536
mCMV,14.63166242,143.28
mCMV,33.52066242,690.863
mCMV,16.82266242,4186.32
mCMV,2.841662419,73.0584
mCMV,59.27366242,2037.83
mCMV,41.99866242,902.59
mCMV,40.03266242,995.509
mCMV,29.63766242,1960.16
mCMV,72.92766242,1468.62
mCMV,8.488662419,187.611
mCMV,74.22166242,336.565
mCMV,24.51166242,12496.2
mCMV,163.2536624,220.948
mCMV,48.34066242,204.989
mCMV,40.62766242,15524.2
mCMV,76.25466242,3908.62
mCMV,17.46466242,325.926
mCMV,16.86366242,41.4943
mCMV,18.55166242,958.98
mCMV,76.93566242,8980.51
mCMV,64.98666242,496.868
mCMV,71.93566242,146.117
mCMV,7.527662419,183.001
mCMV,48.31166242,2602.79
mCMV,37.07466242,2396.03
mCMV,51.79966242,119.518
mCMV,49.11666242,2303.47
mCMV,15.54366242,989.48
mCMV,58.04266242,5150.62
mCMV,64.21166242,40.0757
mCMV,35.53866242,5313.05
mCMV,18.41866242,1069.28
mCMV,19.58666242,1322.85
mCMV,45.89966242,1214.33
mCMV,45.68566242,313.867
mCMV,45.67066242,1270.72
mCMV,2.975662419,21.2791
mCMV,14.31266242,89.0178
mCMV,36.49566242,1431.38
mCMV,36.70366242,6717.83
mCMV,41.94266242,1622.89
mCMV,30.63566242,3129.1
mCMV,38.21866242,3419.91
mCMV,17.16266242,311.03
mCMV,42.53266242,25.1803
mCMV,37.05166242,41156.4
mCMV,32.99566242,1781.77
mCMV,26.94966242,28.0175
mCMV,30.33966242,55.3258
mCMV,34.24566242,20.9245
mCMV,40.24766242,22.3431
mCMV,14.16166242,20.9245
mCMV,23.23166242,36.1745
mCMV,57.73466242,3265.99
mCMV,54.12066242,223.431
mCMV,50.98766242,56.3897
mCMV,55.85566242,120.936
mCMV,68.33566242,40.0757
mCMV,80.81566242,96.4655
mCMV,55.06266242,9141.88
mCMV,44.46366242,90.791
mCMV,20.69866242,93.2736
mCMV,122.0986624,77.3142
mCMV,6.950662419,28.3722
mCMV,73.71866242,940.184
mCMV,2.468662419,34.4013
mCMV,12.11666242,9880.26
mCMV,56.70266242,5377.6
mCMV,69.23066242,453.955
mCMV,29.84066242,1249.09
mCMV,32.17066242,4418.61
mCMV,32.46666242,87.5992
mCMV,68.41866242,2018.68
mCMV,51.57066242,101.431
mCMV,27.26666242,117.745
mCMV,30.93966242,94.6922
mCMV,7.667662419,1546.99
mCMV,31.53866242,53.1979
mCMV,21.46166242,2665.92
mCMV,57.58466242,4380.31
mCMV,49.39666242,282.303
mCMV,35.98066242,477.362
mCMV,21.10466242,4388.11
mCMV,29.91966242,103.913
mCMV,32.10266242,3823.15
mCMV,69.47166242,88.3085
mCMV,8.009662419,632.345
mCMV,43.59666242,4683.19
mCMV,21.80066242,1392.01
mCMV,20.09166242,1827.52
mCMV,4.520662419,34.4013
mCMV,34.86266242,584.113
mCMV,33.89266242,3535.53
mCMV,35.81866242,10908
mCMV,5.471662419,374.513
mCMV,51.68566242,480.554
mCMV,62.91466242,121.646
mCMV,16.22966242,332.309
mCMV,3.305662419,880.957
mCMV,15.59407365,270958.7259
mCMV,174.6896624,2033.58
mCMV,26.14366242,827.404
mCMV,82.92166242,705.404
mCMV,57.06966242,40.4304
mCMV,36.04766242,734.84
mCMV,23.29866242,1050.13
mCMV,51.97966242,3299.33
mCMV,33.03966242,102.14
mCMV,27.48566242,2585.06
mCMV,69.00766242,290.106
mCMV,30.95766242,249.675
mCMV,40.30266242,490.839
mCMV,36.42866242,124.838
mCMV,13.12966242,146.117
mCMV,11.63266242,457.856
mCMV,4.107662419,103.204
mCMV,20.94766242,13032.8
mCMV,48.61466242,541.909
mCMV,70.03466242,23487.6
mCMV,45.63966242,647.595
mCMV,19.46566242,29.7908
mCMV,49.32266242,263.861
mCMV,36.09266242,121.291
mCMV,38.33266242,592.27
mCMV,15.31666242,1773.62
mCMV,37.85866242,72.3491
mCMV,29.42166242,2455.97
mCMV,36.40866242,336.211
mCMV,50.48866242,2710.96
mCMV,25.79166242,162.076
mCMV,49.66566242,3936.64
mCMV,32.64966242,1094.46
mCMV,18.89766242,572.054
mCMV,20.77166242,894.788
mCMV,25.01466242,2352.76
mCMV,53.88466242,55.3258
mCMV,2.674662419,722.072
mCMV,6.008662419,148.245
mCMV,53.68166242,1898.45
mCMV,23.65666242,135.477
mCMV,38.10366242,898.335
mCMV,20.29066242,2328.29
mCMV,14.63266242,47.8781
mCMV,43.83066242,3267.77
mCMV,67.03366242,11338.6
mCMV,34.25666242,32.2734
mCMV,44.94566242,89.0178
mCMV,45.84266242,1871.15
mCMV,26.43566242,58.8723
mCMV,23.95566242,80.5061
mCMV,18.39366242,266.344
mCMV,36.75766242,849.747
mCMV,26.65366242,2086.78
mCMV,22.46566242,455.374
mCMV,69.45866242,680.933
mCMV,48.42566242,5583.65
mCMV,37.14266242,373.804
mCMV,16.17566242,89.7271
mCMV,46.43466242,2708.84
mCMV,33.66166242,222.367
mCMV,18.86566242,627.735
mCMV,47.53766242,681.642
mCMV,72.50966242,552.549
mCMV,23.11866242,87.5992
mCMV,36.74466242,242.228
mCMV,65.30066242,262.088
mCMV,4.225662419,5428.67
mCMV,11.76666242,227.332
mCMV,75.96066242,98.2387
mCMV,4.077662419,75.541
mCMV,18.15466242,1146.24
mCMV,49.86566242,2698.91
mCMV,28.08266242,442.606
mCMV,56.38266242,49.6513
mCMV,43.21966242,6920.33
mCMV,240.5086624,685.543
mCMV,30.27866242,5592.51
mCMV,6.660662419,535.525
mCMV,24.47166242,9878.84
mCMV,60.12466242,107.46
mCMV,32.72766242,124.838
mCMV,22.22466242,292.588
mCMV,29.03766242,85.8259
mCMV,23.85466242,23981.6
mCMV,64.91166242,283.367
mCMV,33.60866242,243.292
mCMV,64.98666242,63.1281
