"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",50,2975.97,552.8065441,2
"B",50,1240.25,124.4325441,2
"B",50,8160.74,148.0715441,2
"B",50,565.786,113.9555441,2
"B",50,4756.44,104.3885441,2
"B",50,51.1445,115.7705441,2
"B",50,7956.16,120.0275441,2
"B",50,73.5202,143.8685441,2
"B",50,35.1618,56.79354409,2
"B",50,4398.43,105.2625441,2
"B",50,8499.58,207.9535441,2
"B",50,2045.78,207.2365441,2
"B",50,25.5722,156.8955441,2
"B",50,105.486,178.6115441,2
"B",50,3.19653,125.5205441,2
"B",50,131.058,138.5935441,2
"B",50,6121.36,325.0135441,2
"B",50,54.341,27.52054409,2
"B",50,41.5549,331.5975441,2
"B",50,19.1792,276.5205441,2
"B",50,2621.16,160.1725441,2
"B",50,19.1792,-5.646455912,2
"B",50,3733.55,226.8355441,2
"B",50,7041.96,122.4725441,2
"B",50,332.439,191.9245441,2
"B",50,63.9306,65.27054409,2
"B",50,3.19653,161.5205441,2
"B",50,73.5202,24.17254409,2
"B",50,1965.87,94.95654409,2
"B",50,450.711,151.8895441,2
"B",50,6210.86,81.88054409,2
"B",50,134.254,4.163544088,2
"B",50,15.9827,51.72054409,2
"B",50,6.39306,82.52054409,2
"B",50,7492.67,128.3855441,2
"B",50,712.826,99.50254409,2
"B",50,290.884,54.88354409,2
"B",50,35.1618,84.79354409,2
"B",50,73.5202,72.56354409,2
"B",50,278.098,162.3715441,2
"B",50,473.087,78.95254409,2
"B",50,118.272,174.5205441,2
"B",50,3.19653,104.5205441,2
"B",50,680.861,272.8775441,2
"B",50,2400.59,117.8825441,2
"B",50,7610.94,121.8125441,2
"B",50,3.19653,304.5205441,2
"B",50,8269.42,291.1725441,2
"B",50,11814.4,284.8675441,2
"B",50,31.9653,238.3205441,2
"B",50,3404.31,121.7275441,2
"B",50,3.19653,37.52054409,2
"B",50,319.653,179.9705441,2
"B",50,2579.6,135.4795441,2
