"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",5,869.456,102.332822002,1
"B",5,2410.18,98.140822002,1
"B",5,67.1271,14.739822002,1
"B",5,393.173,113.513822002,1
"B",5,6405.85,225.463822002,1
"B",5,3551.35,298.570822002,1
"B",5,6028.66,230.517822002,1
"B",5,1058.05,395.256822002,1
"B",5,1975.46,79.516822002,1
"B",5,2733.03,176.597822002,1
"B",5,936.583,555.467822002,1
"B",5,16631.5,333.243822002,1
"B",5,11280.6,290.581822002,1
"B",5,952.566,63.458822002,1
"B",5,2205.61,300.368822002,1
"B",5,4165.08,147.733822002,1
"B",5,757.578,76.799822002,1
"B",5,14972.5,249.891822002,1
"B",5,2825.73,118.033822002,1
"B",5,1454.42,140.969822002,1
"B",5,4110.74,258.633822002,1
"B",5,7566.19,327.903822002,1
"B",5,8937.5,130.326822002,1
"B",5,1131.57,1602.470822002,1
"B",5,4583.82,115.536822002,1
"B",5,4868.32,238.047822002,1
"B",5,25.5722,85.060822002,1
"B",5,150.237,182.097822002,1
"B",5,3333.98,167.857822002,1
"B",5,13751.5,209.397822002,1
"B",5,8483.59,177.022822002,1
"B",5,4392.03,159.011822002,1
"B",5,968.549,2012.200822002,1
"B",5,9845.31,262.946822002,1
"B",5,5900.8,266.925822002,1
"B",5,12469.7,208.004822002,1
