"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.5,175.809,109.491542964,1
"B",0.5,8704.15,242.938542964,1
"B",0.5,4449.57,223.765542964,1
"B",0.5,2921.63,132.580542964,1
"B",0.5,1010.1,141.725542964,1
"B",0.5,5229.52,266.291542964,1
"B",0.5,2301.5,60.149542964,1
"B",0.5,5389.35,78.865542964,1
"B",0.5,696.844,220.891542964,1
"B",0.5,7726.01,755.149542964,1
"B",0.5,38.3584,140.326542964,1
"B",0.5,7025.97,139.625542964,1
"B",0.5,13016.3,660.769542964,1
"B",0.5,2883.27,177.858542964,1
"B",0.5,1879.56,954.069542964,1
"B",0.5,2138.48,86.700542964,1
"B",0.5,7435.13,144.038542964,1
"B",0.5,5619.5,156.184542964,1
"B",0.5,9432.96,258.467542964,1
"B",0.5,3918.95,248.887542964,1
"B",0.5,3087.85,56.199542964,1
"B",0.5,1281.81,44.610542964,1
"B",0.5,12.7861,222.909542964,1
"B",0.5,358.011,482.918542964,1
"B",0.5,11280.6,208.102542964,1
"B",0.5,1460.81,59.607542964,1
"B",0.5,294.081,296.029542964,1
"B",0.5,11187.9,1204.049542964,1
"B",0.5,3017.52,77.9805429640001,1
"B",0.5,3273.25,411.888542964,1
"B",0.5,3.19653,401.909542964,1
