"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.05,1253.04,34.371291711,2
"B",0.05,14557,151.220291711,2
"B",0.05,2790.57,84.752291711,2
"B",0.05,1256.24,80.353291711,2
"B",0.05,13770.7,191.090291711,2
"B",0.05,15762.1,469.601291711,2
"B",0.05,3321.2,188.104291711,2
"B",0.05,6588.05,312.247291711,2
"B",0.05,501.855,1006.918291711,2
"B",0.05,4379.25,752.798291711,2
"B",0.05,1479.99,75.105291711,2
"B",0.05,1013.3,2219.288291711,2
"B",0.05,20071,144.146291711,2
"B",0.05,8844.8,380.696291711,2
"B",0.05,6230.04,253.906291711,2
"B",0.05,20950.1,379.939291711,2
"B",0.05,342.029,161.527291711,2
"B",0.05,3100.63,395.251291711,2
"B",0.05,684.058,158.957291711,2
"B",0.05,5303.04,159.093291711,2
"B",0.05,1083.62,306.088291711,2
"B",0.05,4542.27,249.868291711,2
"B",0.05,19741.8,629.648291711,2
"B",0.05,1572.69,386.478291711,2
"B",0.05,11779.2,356.953291711,2
"B",0.05,3947.72,209.452291711,2
"B",0.05,2761.8,337.118291711,2
"B",0.05,18613.4,136.448291711,2
"B",0.05,31.9653,39.288291711,2
"B",0.05,9058.97,135.551291711,2
"B",0.05,6038.25,666.828291711,2
