"Drug","SVI","Concentration_pM","log10_Concentration_pM","m_Slope","Interpolated_CSCindex","Replicate"
"A",0.55,35487.746763791,4.55007842540796,-4.07321302005122e-06,1.52420457017944,1
"A",0.55,35487.746763791,4.55007842540796,-3.39563516727888e-07,1.38650623562787,2
"A",0.55,35487.746763791,4.55007842540796,-2.51373876880067e-06,1.28929704874046,3
"A",0.6,9029.2496927529,3.95565166306704,7.58594063485873e-05,1.55438105012901,1
"A",0.6,9029.2496927529,3.95565166306704,4.33091718320978e-05,1.35311855268982,2
"A",0.6,9029.2496927529,3.95565166306704,5.39677371189761e-05,1.51649855175653,3
"A",0.65,2563.49557058737,3.40883257136833,7.58594063485873e-05,1.0638927808256,1
"A",0.65,2563.49557058737,3.40883257136833,4.33091718320978e-05,1.07309209638886,2
"A",0.65,2563.49557058737,3.40883257136833,5.39677371189761e-05,1.02601028245312,3
"A",0.7,799.017713758171,2.90255640747689,-2.41045536612106e-06,0.945771393842561,1
"A",0.7,799.017713758171,2.90255640747689,-5.578633204564e-05,1.01659046261915,2
"A",0.7,799.017713758171,2.90255640747689,-8.3733442872763e-05,0.989211882976724,3
"A",0.75,269.912538378663,2.4312230595183,-2.41045536612106e-06,0.947046778251797,1
"A",0.75,269.912538378663,2.4312230595183,-5.578633204564e-05,1.04610729961994,2
"A",0.75,269.912538378663,2.4312230595183,-8.3733442872763e-05,0.99048726738596,3
"A",0.8,97.7954289772573,1.99031855605195,-2.41045536612106e-06,0.947461658861755,1
"A",0.8,97.7954289772573,1.99031855605195,-5.578633204564e-05,1.05570908183574,2
"A",0.8,97.7954289772573,1.99031855605195,-8.3733442872763e-05,0.990902147995918,3
"A",0.85,37.6835160370309,1.57615141758795,-2.41045536612106e-06,0.947606555944869,1
"A",0.85,37.6835160370309,1.57615141758795,-5.578633204564e-05,1.05906250497092,2
"A",0.85,37.6835160370309,1.57615141758795,-8.3733442872763e-05,0.991047045079032,3
"A",0.9,15.3343606133197,1.18566567220659,-2.41045536612106e-06,0.947660427586489,1
"A",0.9,15.3343606133197,1.18566567220659,-5.578633204564e-05,1.06030928237633,2
"A",0.9,15.3343606133197,1.18566567220659,-8.3733442872763e-05,0.991100916720652,3
"A",0.95,6.55119497005185,0.816320524658263,-2.41045536612106e-06,0.947681599015245,1
"A",0.95,6.55119497005185,0.816320524658263,-5.578633204564e-05,1.06079926297131,2
"A",0.95,6.55119497005185,0.816320524658263,-8.3733442872763e-05,0.991122088149408,3
"A",1,2.92332619587437,0.465877278294213,-2.41045536612106e-06,0.947690343830999,1
"A",1,2.92332619587437,0.465877278294213,-5.578633204564e-05,1.06100164846337,2
"A",1,2.92332619587437,0.465877278294213,-8.3733442872763e-05,0.991130832965162,3
